Topic Value New,Topic Value Original,User Value New,User Value Original,Learning Resource Value New,Learning Resource Value Original
,,466,7tV3w3qB6t,466,EG-FACTOR47
,,467,ctVOdq1wnp,467,EG-FACTOR28
,,468,DykSLZf35a,468,EG-S-FACTOR21
,,469,F9WJ1RKM4L,469,EG-S-FACTOR15
,,470,hgivhSMgnH,470,EG-S-FACTOR13
,,471,i5Y9A05Ph8,471,EG-S-FACTOR20
,,472,j0D7C5VG29,472,EG-S-FACTOR11
,,473,k4gaj1r2bT,473,EG-S-FACTOR08
,,474,LjgZcY49TV,474,EG-S-FACTOR16
,,475,m5MmtPWHdr,475,EG-S-FACTOR19
,,476,Q0Fp6Da7G1,476,EG-S-FACTOR17
,,477,rE6U5574qn,477,NEWQUAD3TRE
,,478,Rl6LafSUXj,478,1PTFB10
,,479,TAw598sUia,479,JAN08
,,480,zb6H17h1Dc,480,EG6-FIXED
,,481,233EMC2k7k,481,EG63A
,,482,2kb387yOiG,482,EG63
,,483,38a8p8Zl0z,483,NOV05
,,484,3g1Pl94peh,484,L3REAL45
,,485,4u483r4C0S,485,L5FB05
,,486,7cEjwssz1R,486,PROP16
,,487,7N07jFgyQJ,487,REAL06
,,488,9Bj19ocQBw,488,PERCENT07
,,489,doWQeQ3VZC,489,FOR01
,,490,jdT9cZAxyb,490,BH1T50
,,491,JL3J46dUrn,491,PROP11
,,492,rA9d62o2bb,492,PERCENT09
,,493,uz40H610bF,493,REAL33
,,494,W0f661D7Zp,494,REAL36
,,495,wwSQeRjs22,495,L3JAN02
,,496,wz0V4oY4Z2,496,BH1T03
,,497,y2Z0J1858D,497,REAL25
,,498,Y5XkapASsg,498,NEWS02
,,499,YoXjDl010q,499,BH1T38
,,500,1hQzlO49di,500,PROP15
,,501,1Nf2932GeH,501,L5FB17
,,502,7a0Ziet39H,502,BH1T06
,,503,7XQtQA55O7,503,PERCENT11
,,504,9TvPity5px,504,BH1T13
,,505,a43DzeQWut,505,REAL01
,,506,Fm7ESoRh9v,506,REAL05
,,507,lKsX609E6x,507,PERCENT02
,,508,o2mSq0vQ50,508,PROP18
,,509,oWh48s12mR,509,PERCENT17
,,510,PrH19Z5q87,510,REAL16
,,511,PUH9Se529L,511,L3REAL12
,,512,PUu32klgfP,512,JAN14
,,513,S833Nk9r71,513,DIST01
,,514,Un24RpQEWg,514,PROP19
,,515,0ZroSLGL09,515,PROP14
,,516,3Whv9UbPsR,516,FOR06A
,,517,7d9J30iOq8,517,PERCENT16
,,518,8mKdvKlPOw,518,REAL02
,,519,cx5L3UEvoR,519,BH1T18
,,520,k71nQKqIB3,520,PERCENT10
,,521,LQm0n9F5e0,521,TRANSFORMV001
,,522,Mhc6xUn6X1,522,TRANSFORMV007
,,523,O4YDV4XPTd,523,TRANSFORMV012
,,524,On0ILT6rt5,524,TRANSFORMV003
,,525,oSV25Eb2y9,525,TRANSFORMV006
,,526,QjpdTxl6ce,526,TRANSFORMV010
,,527,Rz2qkM4015,527,TRANSFORMV005
,,528,S7E3jvZbGG,528,TRANSFORMV002
,,529,TQ0ahWNcZ9,529,TRANSFORMV004
,,530,U50h3ZFmGt,530,TRANSFORMG002
,,531,wu58ARZBA2,531,TRANSFORMG005
,,532,yA79w15tnU,532,TRANSFORMG001
,,533,YgQ57c2glM,533,TRANSFORMG008
,,534,5ZR29q8c56,534,TRANSFORMG009
,,535,68gXsA3M68,535,TRANSFORMG006
,,536,6c2Im3PZdL,536,TRANSFORMA010
,,537,7o7172ufx2,537,TRANSFORMA008
,,538,8cSO1GK90W,538,TRANSFORMA012
,,539,Axp5cwW7T8,539,TRANSFORMA011
,,540,D08sSQFrq3,540,TRANSFORMG013
,,541,J76B3lyQG9,541,TRANSFORMG014
,,542,l0KpN7IKom,542,TRANSFORMG015
,,543,LmiEiGqx5x,543,TRANSFORMG016
,,544,NX8N2fJ630,544,TRANSFORMG017
,,545,OPY2Zd6SNl,545,TRANSFORMG018
,,546,SH1cSNDIA8,546,TRANSFORMG019
,,547,T4367PFG7C,547,TRANSFORMG028
,,548,U9iFacSl34,548,TRANSFORMG024
,,549,UEArk7W20r,549,TRANSFORMG027
,,550,verm1Wp12u,550,TRANSFORMG026
,,551,XGFd357i6u,551,TRANSFORMG022
,,552,29U6L12O3k,552,TRANSFORMG020
,,553,2HCz3wr27b,553,TRANSFORMG025
,,554,42FRuGgL06,554,TRANSFORMA024
,,555,8a0vIMw4At,555,TRANSFORMA022
,,556,C0qLCIhI0O,556,TRANSFORMA018
,,557,cI0EPqbE61,557,TRANSFORMA021
,,558,CsX7j87xZ7,558,TRANSFORMA016
,,559,DkXJps09H6,559,TRANSFORMA033
,,560,E1PaKK3181,560,TRANSFORMA034
,,561,e95f4UtF4I,561,TRANSFORMV023
,,562,emTkxI1340,562,TRANSFORMA036
,,563,EWo6L00OAS,563,TRANSFORMG039
,,564,gv1l9iqcam,564,TRANSFORMG035
,,565,HujcxU5LVb,565,TRANSFORMG038
,,566,JP20cryBg8,566,TRANSFORMV027
,,567,N18G8VLF9v,567,TRANSFORMA046
,,568,nA15DeLBE1,568,TRANSFORMA045
,,569,pVG9cgOpCR,569,TRANSFORMV033
,,570,w0FMzJORlK,570,TRANSFORMV028
,,571,1iPV6aca5w,571,TRANSFORMV026
,,572,66l1WHbu0M,572,TRANSFORMA037
,,573,IQQo3367x0,573,TRANSFORMV032
,,,,574,TRANSFORMV031
,,,,575,TRANSFORMV034
,,,,576,TRANSFORMA044
,,,,577,TRANSFORMV025
,,,,578,TRANSFORMV030
,,,,579,TRANSFORMA038
,,,,580,TRANSFORMA043
,,,,581,TRANSFORMA041
,,,,582,TRANSFORMA042
,,,,583,TRANSFORMV029
,,,,584,TRANSFORMG055
,,,,585,TRANSFORMG042
,,,,586,TRANSFORMG056
,,,,587,TRANSFORMG052
,,,,588,TRANSFORMG047
,,,,589,TRANSFORMG046
,,,,590,TRANSFORMG048
,,,,591,TRANSFORMG050
,,,,592,TRANSFORMG054
,,,,593,TRANSFORMG053
,,,,594,TRANSFORMG045
,,,,595,TRANSFORMG043
,,,,596,TRANSFORMG041
,,,,597,TRANSFORMG051
,,,,598,TRANSFORMG049
,,,,599,TRANSFORMG044
,,,,600,TRANSFORMN014
,,,,601,TRANSFORMN015
,,,,602,TRANSFORMN016
,,,,603,TRANSFORMN010
,,,,604,TRANSFORMN013
,,,,605,TRANSFORMN008
,,,,606,TRANSFORMN006
,,,,607,TRANSFORMN004
,,,,608,TRANSFORMN009
,,,,609,TRANSFORMN005
,,,,610,TRANSFORMN012
,,,,611,TRANSFORMN001
,,,,612,TRANSFORMN002
,,,,613,TRANSFORMN007
,,,,614,TRANSFORMN003
,,,,615,TRANSFORMN011
,,,,616,EG32B
,,,,617,EG36
,,,,618,EG33
,,,,619,EG33C
,,,,620,EG32C
,,,,621,EG33A
,,,,622,EG41
,,,,623,PROP06
,,,,624,PROP10
,,,,625,L6FB06
,,,,626,FEB01
,,,,627,FEB08
,,,,628,REAL37
,,,,629,LIT36
,,,,630,LIT21
,,,,631,LIT26
,,,,632,LIT23
,,,,633,LIT37
,,,,634,LIT46
,,,,635,LIT24
,,,,636,LIT22A
,,,,637,LIT23A
,,,,638,LIT32A
,,,,639,RXMX1
,,,,640,YGT5X+12
,,,,641,SYS09
,,,,642,EG-S-FACTOR05
,,,,643,NEWQUAD8TRE
,,,,644,NEWQUAD9TRE
,,,,645,NEWQUAD10TRE
,,,,646,1PTFB18
,,,,647,FOR02
,,,,648,PERCENT15
,,,,649,DEC07
,,,,650,TRANSFORMV008
,,,,651,TRANSFORMG003
,,,,652,TRANSFORMG007
,,,,653,TRANSFORMA005
,,,,654,TRANSFORMA001
,,,,655,TRANSFORMA013
,,,,656,TRANSFORMA023
,,,,657,TRANSFORMA020
,,,,658,TRANSFORMA014
,,,,659,TRANSFORMA035
,,,,660,TRANSFORMV022
,,,,661,TRANSFORMG040
,,,,662,TRANSFORMA039
,,,,663,TRANSFORMG064
,,,,664,TRANSFORMA053
,,,,665,TRANSFORMA050
,,,,666,TRANSFORMG059
,,,,667,TRANSFORMG058
,,,,668,TRANSFORMA054
,,,,669,TRANSFORMV036
,,,,670,TRANSFORMA052
,,,,671,TRANSFORMN029
,,,,672,TRANSFORMN020
,,,,673,TRANSFORMN032
,,,,674,TRANSFORMN026
,,,,675,TRANSFORMN031
,,,,676,TRANSFORMN030
,,,,677,TRANSFORMN028
,,,,678,TRANSFORMN025
,,,,679,TRANSFORMN018
,,,,680,TRANSFORMN019
,,,,681,TRANSFORMN017
,,,,682,TRANSFORMN027
,,,,683,TRANSFORMN024
,,,,684,TRANSFORMN022
,,,,685,BH1T07
,,,,686,JAN12
,,,,687,LIT19
,,,,688,LIT24A
,,,,689,P-2X-2YGE9
,,,,690,L3FB01
,,,,691,L3REAL21
,,,,692,EG42
,,,,693,EG62
,,,,694,EG62A
,,,,695,LIT44
,,,,696,LIT88
,,,,697,LIT38
,,,,698,LIT39
,,,,699,LIT86
,,,,700,LIT84
,,,,701,LIT89
,,,,702,LIT87
,,,,703,YLE-3X-13
,,,,704,X-3YGE20
,,,,705,7X-4YGE15
,,,,706,SYS07
,,,,707,SYSFB06
,,,,708,NEWSQUARE2TRE
,,,,709,EG-S-FACTOR03
,,,,710,2X+3YGT9
,,,,711,EG-FACTOR42
,,,,712,EG-FACTOR26
,,,,713,EG-FACTOR34
,,,,714,EG-S-FACTOR24
,,,,715,1PTB04
,,,,716,EG44
,,,,717,BH1T43
,,,,718,BH1T42
,,,,719,FBSMR3
,,,,720,FBSMR2
,,,,721,BH1T22A
,,,,722,RXMX1C
,,,,723,BH1T24A
,,,,724,EG-S-FACTOR25
,,,,725,TRANSFORMA006
,,,,726,TRANSFORMA002
,,,,727,TRANSFORMG021
,,,,728,TRANSFORMG023
,,,,729,TRANSFORMA015
,,,,730,TRANSFORMV020
,,,,731,TRANSFORMV021
,,,,732,TRANSFORMV024
,,,,733,TRANSFORMA032
,,,,734,EG-FACTOR24
,,,,735,EG-FACTOR30
,,,,736,EG-FACTOR39
,,,,737,EG-FACTOR46
,,,,738,2PTFB21
,,,,739,BH1T45
,,,,740,PSNPOLEVAULT
,,,,741,TOYSALES
,,,,742,DEMO_5
,,,,743,L3REAL50
,,,,744,BH1T24
,,,,745,REAL29
,,,,746,BH1T37
,,,,747,FOR06
,,,,748,TRANSFORMG012
,,,,749,TRANSFORMG010
,,,,750,TRANSFORMG004
,,,,751,TRANSFORMG011
,,,,752,TRANSFORMA003
,,,,753,TRANSFORMA004
,,,,754,TRANSFORMA007
,,,,755,TRANSFORMA019
,,,,756,TRANSFORMA017
,,,,757,TRANSFORMA031
,,,,758,TRANSFORMA040
,,,,759,LIT15
,,,,760,SYSFB22
,,,,761,SYSFB05
,,,,762,EG42C
,,,,763,LIT5
,,,,764,LIT42
,,,,765,LIT85
,,,,766,LIT46A
,,,,767,LIT31A
,,,,768,LIT59
,,,,769,LIT57A
,,,,770,DISTFB11_SP
,,,,771,LIT41
,,,,772,SYSFB25
,,,,773,SYSFB24
,,,,774,SYSFB11
,,,,775,LIT26A
,,,,776,LIT20A
,,,,777,LIT21A
,,,,778,DISTFB10_SP
,,,,779,BH1T30C
,,,,780,BH1T28
,,,,781,BH1T27
,,,,782,BH1T33B
,,,,783,REAL20A
,,,,784,BH1T19A
,,,,785,JAN11A
,,,,786,BH1T34A
,,,,787,BH1T23B
,,,,788,BH1T35B
,,,,789,BH1T39B
,,,,790,L3NOV10C
,,,,791,L3NOV12B
,,,,792,BH1T29A
,,,,793,REAL19A
,,,,794,L2FB14C
,,,,795,EG7A
,,,,796,EG8B
,,,,797,EG6A
,,,,798,EG13A
,,,,799,EG16
,,,,800,BH1T36
,,,,801,REAL13A
,,,,802,BH1T10B
,,,,803,BH1T31
,,,,804,PERCENT01B
,,,,805,BH1T41C
,,,,806,BH1T47A
,,,,807,NEWSQUARE3TRE
,,,,808,EG-FACTOR50
,,,,809,BH1T15C
,,,,810,BH1T08
,,,,811,RXMX_2C
,,,,812,BH1T33
,,,,813,L3NOV07C
,,,,814,L5FB03A
,,,,815,JAN11
,,,,816,DEC03A
,,,,817,BH1T34B
,,,,818,REAL32A
,,,,819,L1FB12B
,,,,820,JAN04B
,,,,821,JAN13A
,,,,822,BH1T23A
,,,,823,BH1T35C
,,,,824,REAL17C
,,,,825,BH1T21C
,,,,826,BH1T39
,,,,827,L3NOV10B
,,,,828,BH1T29
,,,,829,EG8A
,,,,830,BH1T36B
,,,,831,REAL13C
,,,,832,PERCENT05A
,,,,833,PERCENT01C
,,,,834,EMX03A
,,,,835,BH1T41A
,,,,836,DEC01A
,,,,837,L5FB04C
,,,,838,EG37C
,,,,839,LIT11A
,,,,840,LIT6A
,,,,841,LIT5A
,,,,842,LIT76A
,,,,843,SYSFB03
,,,,844,EG-FACTOR35
,,,,845,EG-FACTOR48
,,,,846,EG-FACTOR43
,,,,847,1PTFB17
,,,,848,1PTB06
,,,,849,REAL35
,,,,850,DEMO_10
,,,,851,FEB06
,,,,852,BH1T17C
,,,,853,BH1T26C
,,,,854,BH1T35A
,,,,855,NOV04
,,,,856,REAL17B
,,,,857,BH1T39A
,,,,858,L3NOV12A
,,,,859,BH1T31B
,,,,860,PERCENT01
,,,,861,EMX03B
,,,,862,BH1T02A
,,,,863,PERCENT05B
,,,,864,PERCENT04A
,,,,865,BH1T41B
,,,,866,DEC01B
,,,,867,EG39B
,,,,868,EG38A
,,,,869,EG39C
,,,,870,PROP13
,,,,871,LIT40
,,,,872,EG-FACTOR27
,,,,873,FOR07
,,,,874,REAL27
,,,,875,TRANSFORMV019
,,,,876,TRANSFORMG061
,,,,877,TRANSFORMV042
,,,,878,TRANSFORMV040
,,,,879,TRANSFORMA049
,,,,880,TRANSFORMA047
,,,,881,EG-FACTOR32
,,,,882,EG-FACTOR23
,,,,883,EG-FACTOR45
,,,,884,SYS01
,,,,885,SYS10
,,,,886,FOR06C
,,,,887,TRANSFORMA009
,,,,888,TRANSFORMG036
,,,,889,TRANSFORMV041
,,,,890,EG-FACTOR38
,,,,891,PERCENT18
,,,,892,PERCENT08
,,,,893,TRANSFORMV011
,,,,894,TRANSFORMV009
,,,,895,RXMX_3A
,,,,896,BH1T33C
,,,,897,L5FB03C
,,,,898,REAL20B
,,,,899,REAL32C
,,,,900,L1FB12C
,,,,901,JAN04C
,,,,902,L3NOV10A
,,,,903,L3NOV12C
,,,,904,EG27
,,,,905,BH1T10A
,,,,906,PERCENT04C
,,,,907,BH1T02
,,,,908,BH1T32
,,,,909,EG-FACTOR36
,,,,910,EG-FACTOR41
,,,,911,BH1T22
,,,,912,EMX04
,,,,913,REAL20C
,,,,914,JAN11B
,,,,915,NEWS01B
,,,,916,NOV04C
,,,,917,BH1T29B
,,,,918,L2FB14B
,,,,919,REAL28
,,,,920,LIT16
,,,,921,DISTFB13_SP
,,,,922,DISTFB12_SP
,,,,923,EG-FACTOR22
,,,,924,EG-FACTOR37
,,,,925,BH1T17B
,,,,926,BH1T08A
,,,,927,BH1T27B
,,,,928,L3NOV07
,,,,929,BH1T23C
,,,,930,NEWS01C
,,,,931,EG17
,,,,932,BH1T36A
,,,,933,EMX03
,,,,934,L2FB15A
,,,,935,PERCENT14A
,,,,936,EG38
,,,,937,BH1T30B
,,,,938,JAN11C
,,,,939,BH1T34C
,,,,940,DEC03
,,,,941,REAL32
,,,,942,JAN04A
,,,,943,NOV04B
,,,,944,L3NOV12
,,,,945,EG12B
,,,,946,REAL13B
,,,,947,BH1T10
,,,,948,BH1T08C
,,,,949,BH1T30A
,,,,950,BH1T27C
,,,,951,BH1T21B
,,,,952,BH1T39C
,,,,953,LIT9
,,,,954,LIT1A
,,,,955,LIT3A
,,,,956,LIT8A
,,,,957,LIT35A
,,,,958,RXMX_2B
,,,,959,RXMX_3B
,,,,960,EMX04C
,,,,961,BH1T15
,,,,962,BH1T28A
,,,,963,BH1T19C
,,,,964,BH1T21
,,,,965,BH1T31A
,,,,966,PERCENT04
,,,,967,DEC01C
,,,,968,PERCENT14B
,,,,969,RXMX_3
,,,,970,REAL32B
,,,,971,L1FB12
,,,,972,JAN13C
,,,,973,L3NOV10
,,,,974,BH1T02C
,,,,975,L2FB15C
,,,,976,LIT43
,,,,977,EG-FACTOR31
,,,,978,EG-FACTOR29
,,,,979,EMX04B
,,,,980,BH1T19
,,,,981,PERCENT05C
,,,,982,BH1T32B
,,,,983,LIT8
,,,,984,LIT3
,,,,985,LIT54A
,,,,986,LIT59A
,,,,987,LIT58A
,,,,988,BH1T15A
,,,,989,BH1T26B
,,,,990,RXMX_3C
,,,,991,EMX04A
,,,,992,RXMX_2
,,,,993,PERCENT03B
,,,,994,BH1T32C
,,,,995,PERCENT14
,,,,996,L5FB04A
,,,,997,BH1T47B
,,,,998,EG39
,,,,999,BH1T28B
,,,,1000,PERCENT04B
,,,,1001,BH1T02B
,,,,1002,PERCENT03
,,,,1003,BH1T08B
,,,,1004,PERCENT03C
,,,,1005,LIT1
,,,,1006,LIT7A
,,,,1007,REAL19B
,,,,1008,BH1T47
,,,,1009,L3NOV07A
,,,,1010,BH1T34
,,,,1011,BH1T47C
,,,,1012,L5FB03B
,,,,1013,L5FB03
,,,,1014,DEC03C
,,,,1015,BH1T15B
,,,,1016,LIT18A
,,,,1017,NEWS01
,,,,1018,L2FB15B
,,,,1019,L5FB04
,,,,1020,RXMX_2A
,,,,1021,EG12C
,,,,1022,EG12
,,,,1023,BH1T32A
,,,,1024,BH1T29C
,,,,1025,BH1T26
,,,,1026,REAL17A
,,,,1027,LIT15A
,,,,1028,LIT78
,,,,1029,REAL19
,,,,1030,LIT9A
,,,,1031,REAL19C
,,,,1032,L2FB14A
,,,,1033,PERCENT03A
,,,,1034,EG36A
,,,,1035,EG37
,,,,1036,EG36B
,,,,1037,EG37A
,,,,1038,EG39A
,,,,1039,LIT12A
,,,,1040,LIT60A
,,,,1041,EG-FACTOR49
,,,,1042,L3NOV08
,,,,1043,TRANSFORMG057
,,,,1044,TRANSFORMV039
,,,,1045,EG-FACTOR33
,,,,1046,EG18
,,,,1047,EG18A
,,,,1048,EG17A
,,,,1049,LIT4A
,,,,1050,L1FB12A
,,,,1051,JAN13B
,,,,1052,LIT16A
,,,,1053,PERCENT05
,,,,1054,JAN04
,,,,1055,EG-FACTOR44
,,,,1056,EG-FACTOR40
,,,,1057,TRANSFORMG063
,,,,1058,TRANSFORMA051
,,,,1059,TRANSFORMG062
,,,,1060,EG38B
,,,,1061,EG38C
,,,,1062,L2FB14
,,,,1063,EG20A
,,,,1064,EG19
,,,,1065,EG20
,,,,1066,EG19A
,,,,1067,EG9A
,,,,1068,EG10B
,,,,1069,EG9B
,,,,1070,EG10
,,,,1071,EG37B
,,,,1072,EG10C
,,,,1073,EG9
,,,,1074,EG10A
,,,,1075,EG9C
,,,,1076,EG36C
,,,,1077,TRANSFORMG037
,,,,1078,BH1T46
,,,,1079,PERCENT06
,,,,1080,BH1T05
,,,,1081,REAL48
,,,,1082,JAN13
,,,,1083,FOR06B
